emp_no,dept_no,from_date,to_date
474768,d004,20-04-1995,01-01-9999
474769,d004,19-08-1986,06-08-1989
474769,d006,06-08-1989,01-08-1990
474770,d007,23-11-1994,01-01-9999
474771,d009,22-05-1993,01-01-9999
474772,d001,09-08-1998,15-12-1998
474773,d004,28-10-1990,01-01-9999
474774,d004,11-09-1999,01-01-9999
474775,d005,19-05-1998,20-08-1999
474776,d002,22-07-1985,01-01-9999
474777,d005,17-10-1991,01-01-9999
474778,d005,21-10-1989,01-01-9999
474779,d004,11-09-1999,01-01-9999
474779,d005,09-01-1999,11-09-1999
474780,d004,20-11-1990,01-01-9999
474781,d007,30-05-1990,01-01-9999
474782,d009,22-09-1997,01-01-9999
474783,d001,24-01-1995,19-08-2000
474784,d007,30-05-1989,01-01-9999
474785,d004,13-03-1991,12-09-1993
474786,d005,21-09-1995,01-01-9999
474787,d006,19-06-1993,01-01-9999
474788,d004,31-05-1993,01-01-9999
474788,d005,23-06-1990,31-05-1993
474789,d005,21-11-1985,10-01-1996
474790,d002,20-01-1999,01-01-9999
474791,d005,09-09-1994,01-01-9999
474792,d007,26-07-1993,01-01-9999
474793,d007,19-01-1992,14-06-1997
474794,d005,18-07-1996,01-01-9999
474795,d006,04-05-1997,01-01-9999
474796,d004,09-11-1986,17-08-1987
474796,d009,17-08-1987,01-01-9999
474797,d005,08-03-1987,01-01-9999
474798,d007,28-02-1986,01-01-9999
474799,d005,13-01-1986,01-01-9999
474800,d007,25-03-1992,16-11-1999
474801,d004,12-09-1994,01-01-9999
474802,d003,04-12-1986,01-01-9999
474803,d004,29-07-1989,21-09-1996
474804,d001,30-10-1994,01-01-9999
474805,d004,29-08-1990,30-06-1992
474805,d009,30-06-1992,01-01-9999
474806,d004,02-07-1992,01-01-9999
474807,d003,14-11-1992,01-01-9999
474808,d002,09-02-1997,01-01-9999
474809,d004,19-11-1988,01-01-9999
474810,d005,15-09-1990,01-01-9999
474811,d005,27-02-1986,03-06-1988
474812,d007,24-04-1997,01-01-9999
474813,d004,19-06-1987,22-10-1996
474813,d006,22-10-1996,01-01-9999
474814,d004,02-06-1992,31-10-1992
474815,d007,07-03-1999,01-01-9999
474816,d008,04-07-1999,01-01-9999
474817,d002,17-03-1986,01-01-9999
474818,d005,31-10-1987,01-01-9999
474819,d005,01-01-1991,01-01-9999
474820,d006,28-06-1987,01-01-9999
474821,d005,11-09-1987,01-01-9999
474822,d001,01-04-1997,01-01-9999
474823,d009,30-11-1992,06-07-1996
474824,d004,08-01-2001,01-01-9999
474824,d008,07-07-1992,08-01-2001
474825,d007,03-02-1989,01-01-9999
474826,d001,09-08-1993,01-01-9999
474827,d005,25-10-1997,01-01-9999
474828,d004,23-03-1995,01-01-9999
474829,d001,04-09-1992,01-01-9999
474830,d005,30-05-1988,01-01-9999
474831,d004,20-01-1994,06-02-1995
474832,d001,09-01-2002,01-01-9999
474832,d007,26-01-2000,09-01-2002
474833,d003,20-05-1995,01-01-9999
474834,d005,03-01-1998,01-01-9999
474835,d009,23-05-1985,01-01-9999
474836,d002,17-05-1986,30-12-2001
474837,d008,28-04-1986,01-01-9999
474838,d007,21-01-1997,01-01-9999
474839,d004,22-03-1996,01-01-9999
474840,d007,27-04-1988,03-03-2000
474841,d005,07-05-1991,05-03-1993
474842,d005,27-06-1986,01-01-9999
474843,d004,17-08-1987,20-02-1998
474843,d006,20-02-1998,01-01-9999
474844,d004,17-04-1992,01-01-9999
474845,d004,14-03-1990,01-01-9999
474846,d005,24-07-1998,01-01-9999
474847,d008,14-02-1995,01-01-9999
474848,d009,29-07-1988,15-11-1988
474849,d004,18-09-1994,01-01-9999
474850,d006,25-05-1997,01-01-9999
474851,d005,26-04-1993,01-01-9999
474852,d001,27-01-1994,01-01-9999
474852,d003,12-09-1990,27-01-1994
474853,d005,09-11-1990,01-01-9999
474854,d001,21-11-1998,01-01-9999
474855,d006,16-08-1995,01-01-9999
474856,d001,14-10-1999,01-01-9999
474857,d005,24-01-1988,25-09-1990
474858,d004,15-01-1995,01-01-9999
474859,d004,17-06-1989,01-01-9999
474860,d005,22-09-1992,01-01-9999
474861,d004,17-07-1986,25-06-1987
474861,d009,25-06-1987,24-01-1988
474862,d007,10-09-1988,01-01-9999
474863,d004,20-02-1998,01-01-9999
474864,d002,13-05-1992,01-01-9999
474865,d005,19-08-1991,01-01-9999
474866,d005,29-11-1985,01-01-9999
474867,d005,31-07-1985,01-01-9999
474868,d007,05-11-1999,01-01-9999
474869,d007,29-04-1999,01-01-9999
474870,d005,14-08-1999,03-12-2000
474871,d001,29-09-1998,01-01-9999
474872,d001,26-09-1993,12-01-2000
474872,d009,12-01-2000,01-01-9999
474873,d004,27-05-1988,01-01-9999
474874,d005,02-09-1999,01-01-9999
474875,d005,17-05-1995,01-01-9999
474876,d001,29-11-1992,01-01-9999
474877,d003,15-04-1992,01-01-9999
474878,d006,13-03-1991,01-01-9999
474879,d005,10-02-1996,23-04-1998
474880,d005,16-12-1999,01-01-9999
474881,d005,13-01-1988,06-11-1989
474882,d007,10-12-1994,24-11-2000
474882,d009,24-11-2000,25-06-2001
474883,d006,12-09-1985,01-01-9999
474884,d002,19-07-1999,01-01-9999
474885,d003,06-04-1995,01-01-9999
474886,d005,19-04-1990,01-01-9999
474887,d006,16-03-1987,01-01-9999
474888,d009,22-04-1986,01-01-9999
474889,d005,14-12-1994,01-01-9999
474890,d004,25-11-1993,01-01-9999
474891,d004,17-08-1986,07-04-1996
474891,d009,07-04-1996,06-04-1999
474892,d002,30-08-1989,01-01-9999
474893,d009,25-04-1996,31-10-2000
474894,d007,05-01-1994,01-01-9999
474895,d008,10-05-1997,01-01-9999
474896,d007,24-08-1993,01-01-9999
474897,d007,24-09-1994,01-01-9999
474898,d004,27-04-1988,01-01-9999
474899,d008,20-02-1990,01-01-9999
474900,d004,08-10-1997,28-05-2001
474900,d009,28-05-2001,01-01-9999
474901,d004,21-12-1999,01-01-9999
474902,d005,24-06-1990,20-01-1995
474903,d005,20-02-1999,01-04-2001
474904,d005,09-01-1986,01-01-9999
474905,d006,14-07-1986,01-01-9999
474906,d004,28-06-1988,01-01-9999
474907,d007,13-09-1988,01-01-9999
474908,d007,01-06-1989,01-01-9999
474909,d005,16-10-1996,14-01-1998
474909,d008,14-01-1998,06-01-2002
474910,d002,07-12-1990,01-01-9999
474911,d007,22-02-1998,26-04-2002
474912,d007,22-09-1988,01-01-9999
474913,d002,04-04-1988,01-01-9999
474914,d005,15-03-1990,01-01-9999
474915,d007,28-09-1998,01-01-9999
474916,d006,15-11-1997,05-05-2000
474917,d004,26-09-2000,16-08-2001
474917,d005,18-11-1997,26-09-2000
474918,d005,10-02-1985,11-03-1985
474919,d005,08-08-1997,01-01-9999
474920,d005,24-10-1999,01-01-9999
474921,d007,02-09-1989,01-01-9999
474922,d003,19-09-1998,01-01-9999
474923,d004,18-10-1992,01-01-9999
474924,d004,12-12-1995,01-01-9999
474925,d009,12-06-1991,12-03-1998
474926,d003,11-09-1990,01-01-9999
474927,d005,12-06-1992,01-01-9999
474928,d005,06-03-2002,01-01-9999
474928,d009,05-11-1996,06-03-2002
474929,d004,17-08-1997,28-10-1998
474930,d002,20-05-1997,30-09-1998
474931,d006,16-11-1997,01-01-9999
474932,d006,30-06-1991,13-07-2001
474933,d005,19-05-1997,24-06-1999
474934,d005,21-06-1996,01-01-9999
474935,d004,06-04-1997,01-01-9999
474936,d006,25-04-1989,01-01-9999
474937,d004,14-09-2001,01-01-9999
474937,d005,25-03-1991,14-09-2001
474938,d005,11-05-1992,01-01-9999
474939,d004,04-04-1991,02-08-1996
474940,d004,23-01-1999,23-08-1999
474941,d008,16-08-1994,01-01-9999
474942,d007,23-05-1992,01-01-9999
474943,d007,26-03-1996,01-01-9999
474944,d005,22-12-1995,01-01-9999
474945,d004,16-06-1998,01-01-9999
474946,d004,24-07-1998,22-02-1999
474946,d006,22-02-1999,23-02-1999
474947,d004,17-10-1993,30-04-1997
474948,d007,09-09-1993,01-01-9999
474949,d004,10-09-1994,01-01-9999
474950,d009,04-09-1998,01-01-9999
474951,d002,22-12-1991,06-10-1998
474952,d005,12-02-1995,01-01-9999
474953,d004,04-09-1999,01-01-9999
474954,d004,04-11-1985,01-01-9999
474955,d009,22-06-1999,01-01-9999
474956,d004,25-10-1986,03-11-1987
474956,d009,03-11-1987,13-01-1992
474957,d008,16-08-1998,01-01-9999
474958,d002,12-09-1994,09-07-2002
474959,d006,02-12-1988,01-01-9999
474960,d005,27-06-1989,01-01-9999
474961,d004,04-01-1997,01-01-9999
474962,d005,03-01-1988,01-01-9999
474963,d007,20-09-1998,01-01-9999
474964,d005,28-10-1992,01-01-9999
474965,d001,25-11-2000,01-01-9999
474965,d007,18-04-1998,25-11-2000
474966,d004,27-03-1997,11-07-1997
474967,d007,31-08-1990,01-01-9999
474968,d009,03-05-1986,01-01-9999
474969,d005,08-07-1992,01-01-9999
474970,d005,05-02-1996,01-01-9999
474971,d005,11-10-1996,26-09-1998
474972,d004,08-09-1988,01-01-9999
474973,d005,18-10-1991,01-01-9999
474974,d004,22-05-1986,10-03-2000
474974,d006,10-03-2000,01-01-9999
474975,d005,08-05-1989,01-01-9999
474976,d004,15-11-1996,01-01-9999
474977,d004,22-08-1996,01-01-9999
474978,d007,12-03-1996,01-01-9999
474979,d002,19-02-1992,11-05-2000
474980,d003,13-09-1987,01-01-9999
474981,d005,05-05-1986,01-01-9999
474982,d007,05-03-1996,01-01-9999
474983,d004,28-01-1989,01-01-9999
474984,d004,27-01-1998,01-01-9999
474985,d007,16-05-1997,09-05-2000
474985,d009,09-05-2000,21-01-2001
474986,d007,25-07-1990,01-01-9999
474987,d004,08-10-1988,19-08-1991
474988,d005,15-04-1992,01-01-9999
474989,d004,02-12-1995,01-01-9999
474990,d006,05-09-1985,01-01-9999
474991,d001,24-11-1988,19-10-1990
474992,d006,03-08-1998,06-04-2002
474993,d004,16-02-1989,01-01-9999
474994,d004,13-05-2001,01-01-9999
474994,d009,13-11-1994,13-05-2001
474995,d005,12-10-1999,01-01-9999
474996,d004,05-06-1999,01-01-9999
474997,d005,16-08-1999,01-01-9999
474998,d005,19-03-1995,01-02-2000
474999,d008,07-11-1989,01-01-9999
475000,d007,05-04-1994,01-01-9999
475001,d009,19-03-1999,01-01-9999
475002,d004,28-11-1992,29-01-1996
475003,d002,10-08-1988,07-02-2001
475003,d007,07-02-2001,01-01-9999
475004,d005,17-01-1996,01-01-9999
475005,d007,21-05-1995,01-01-9999
475006,d004,16-11-1985,01-01-9999
475007,d003,25-02-1989,08-12-1999
475008,d004,23-06-1992,06-08-2001
475009,d005,09-06-1993,01-01-9999
475010,d005,30-12-1998,01-01-9999
475011,d002,17-10-2001,01-01-9999
475011,d003,24-11-1997,17-10-2001
475012,d004,24-07-1990,01-01-9999
475013,d004,27-07-1987,01-01-9999
475014,d005,30-06-1994,01-01-9999
475015,d007,08-06-1988,24-02-1994
475016,d005,01-05-1988,01-01-9999
475017,d005,29-03-1996,01-01-9999
475018,d009,06-12-1991,07-01-1992
475019,d006,19-10-1999,01-01-9999
475020,d006,18-05-1995,01-01-9999
475021,d005,02-09-1998,01-01-9999
475021,d009,13-08-1990,02-09-1998
475022,d006,25-10-1994,01-01-9999
475023,d005,11-09-1986,29-08-2001
475024,d004,14-05-1989,01-01-9999
475025,d004,13-05-1999,01-01-9999
475026,d004,25-03-1998,01-01-9999
475027,d007,26-02-1995,01-01-9999
475028,d005,18-12-1998,01-01-9999
475029,d004,24-09-1999,01-01-9999
475030,d004,26-05-1999,17-07-2000
475031,d005,03-05-1992,01-01-9999
475032,d004,30-03-1996,26-08-1996
475032,d005,30-04-1994,30-03-1996
475033,d007,09-12-1986,01-01-9999
475034,d003,07-02-1991,12-09-1999
475035,d005,01-12-1992,01-01-9999
475036,d004,21-11-1999,01-01-9999
475037,d004,13-04-1988,01-01-9999
475038,d007,23-08-1995,01-01-9999
475039,d005,15-06-1987,01-01-9999
475040,d007,05-04-1985,01-01-9999
475041,d001,23-11-1995,01-01-9999
475041,d007,28-07-1988,23-11-1995
475042,d004,23-03-1995,16-06-1999
475043,d004,14-10-1999,01-01-9999
475044,d007,02-12-1998,01-01-9999
475045,d009,15-05-1995,01-01-9999
475046,d007,15-11-1987,01-01-9999
475047,d007,27-03-1991,01-01-9999
475048,d007,26-10-1995,01-01-9999
475049,d004,22-12-1986,18-04-1987
475049,d005,27-09-1985,22-12-1986
475050,d009,13-05-1996,01-01-9999
475051,d005,20-10-1988,01-01-9999
475052,d002,14-01-1999,21-10-1999
475053,d004,25-10-1995,01-01-9999
475054,d005,15-05-1986,01-01-9999
475055,d004,02-03-1998,01-01-9999
475056,d002,23-08-1992,01-01-9999
475057,d001,26-07-1995,01-01-9999
475058,d005,15-06-1993,01-01-9999
475059,d002,27-06-1999,01-06-2001
475059,d007,01-06-2001,01-01-9999
475060,d006,02-01-1992,31-07-1993
475061,d004,25-06-1998,06-10-2001
475062,d004,08-11-1997,12-08-2000
475063,d005,27-05-1990,01-01-9999
475064,d003,20-03-1985,01-01-9999
475065,d005,18-11-1999,01-01-9999
475066,d002,22-07-1994,01-01-9999
475067,d005,22-09-1985,25-11-1991
475068,d002,23-10-1988,08-10-1995
475068,d003,08-10-1995,01-01-9999
475069,d009,28-08-1997,25-06-2001
475070,d003,03-10-1985,01-01-9999
475071,d003,06-06-1987,01-01-9999
475072,d004,08-06-1988,01-01-9999
475073,d005,14-01-1991,01-01-9999
475074,d006,02-12-1986,01-01-9999
475075,d004,22-06-1991,01-01-9999
475076,d008,06-03-1990,01-01-9999
475077,d007,06-12-1990,01-01-9999
475078,d005,02-04-1997,09-10-1999
475079,d005,26-12-1994,07-02-1995
475079,d008,07-02-1995,01-01-9999
475080,d005,22-12-1990,01-01-9999
475081,d004,29-11-1989,01-01-9999
475082,d004,09-01-1990,01-01-9999
475083,d009,03-01-1993,06-12-1997
475084,d003,21-11-1991,01-01-9999
475085,d007,26-10-1995,01-01-9999
475086,d005,31-12-1997,01-01-9999
475087,d004,21-10-1988,01-01-9999
475088,d004,10-10-1996,30-10-1997
475088,d005,14-01-1996,10-10-1996
475089,d005,14-02-1985,01-01-9999
475090,d001,20-04-1989,01-01-9999
475091,d005,14-04-1995,30-09-1998
475092,d003,27-08-1988,01-01-9999
475093,d009,15-01-1986,01-01-9999
475094,d004,17-12-1993,01-01-9999
475095,d008,16-08-1997,01-01-9999
475096,d006,18-02-1995,01-01-9999
475097,d001,24-04-1986,01-01-9999
475098,d007,16-12-1986,01-01-9999
475099,d004,17-08-1998,21-07-2001
475099,d009,21-07-2001,01-01-9999
475100,d009,24-10-1988,11-05-1991
475101,d004,14-03-1987,01-01-9999
475102,d005,28-09-1988,01-01-9999
475103,d001,01-08-1993,01-01-9999
475104,d007,03-01-1994,23-10-1998
475105,d001,24-01-1998,01-01-9999
475106,d007,23-01-1990,01-01-9999
475107,d005,21-10-1995,01-01-9999
475108,d007,31-12-1995,26-07-2002
475109,d008,11-04-1990,01-01-9999
475110,d005,04-03-1991,14-02-1994
475110,d006,13-06-1988,04-03-1991
475111,d007,30-11-1991,17-02-1992
475112,d005,03-10-1988,01-01-9999
475113,d006,24-10-1994,01-01-9999
475114,d006,12-11-1999,01-01-9999
475115,d004,04-04-1998,01-01-9999
475116,d009,26-08-1992,01-01-9999
475117,d007,14-03-1990,01-01-9999
475118,d009,07-11-1999,01-01-9999
475119,d004,26-07-1985,01-01-9999
475120,d005,15-11-1988,08-06-1989
475120,d008,08-06-1989,22-01-1991
475121,d006,13-10-1995,13-01-2001
475122,d005,16-12-1994,01-01-9999
475123,d004,21-12-1988,01-01-9999
475124,d008,19-12-1993,01-01-9999
475125,d005,28-05-1995,01-01-9999
475126,d003,03-06-1986,13-02-1999
475127,d007,05-03-1989,01-01-9999
475128,d001,11-12-1992,01-01-9999
475128,d007,16-09-1992,11-12-1992
475129,d005,03-11-1997,01-01-9999
475130,d001,06-10-1994,01-01-9999
475131,d005,20-04-1988,01-01-9999
475132,d009,25-08-1989,01-03-1994
475133,d007,04-02-1993,01-01-9999
475134,d007,21-07-1990,04-02-2001
475135,d005,25-06-1990,01-01-9999
475136,d005,02-05-1992,03-09-2001
475136,d008,21-07-1989,02-05-1992
475137,d007,26-10-1992,01-01-9999
475138,d002,30-06-1993,01-01-9999
475139,d007,26-09-1987,25-02-1989
475140,d004,08-08-1999,01-01-9999
475141,d007,14-09-1993,01-01-9999
475142,d006,31-12-1988,01-01-9999
475143,d001,15-02-1986,01-01-9999
475144,d001,12-05-1991,01-01-9999
475145,d007,15-08-1999,01-01-9999
475146,d001,11-07-1993,01-01-9999
475147,d002,18-05-1990,02-08-1995
475147,d003,02-08-1995,22-09-1995
475148,d005,19-05-1993,01-01-9999
475149,d005,10-09-1996,01-01-9999
475150,d004,05-05-1997,01-01-9999
475151,d003,20-06-1997,01-01-9999
475152,d007,18-11-1995,02-09-1998
475153,d004,26-03-1985,19-01-1994
475154,d005,29-10-1995,01-01-9999
475155,d006,12-09-1995,01-01-9999
475156,d004,26-01-1997,22-10-2000
475156,d006,22-10-2000,01-01-9999
475157,d007,15-09-1993,01-01-9999
475158,d004,05-01-1998,01-01-9999
475159,d002,27-10-1995,17-09-1998
475160,d009,04-08-1996,15-09-1996
475161,d004,10-06-1987,01-01-9999
475162,d008,07-12-1988,01-01-9999
475163,d007,05-10-1994,01-01-9999
475164,d005,27-11-1994,01-01-9999
475165,d004,12-03-1999,01-01-9999
475165,d006,07-10-1993,12-03-1999
475166,d009,24-03-1990,01-01-9999
475167,d004,09-03-1985,01-01-9999
475168,d003,16-10-1993,01-01-9999
475169,d005,05-11-1990,08-08-1993
475170,d003,27-07-1996,01-01-9999
475171,d007,02-01-1986,01-01-9999
475172,d002,06-10-1986,01-01-9999
475173,d007,13-12-1998,01-01-9999
475174,d007,20-10-1998,01-01-9999
475175,d004,02-07-1999,05-01-2000
475175,d009,05-01-2000,01-01-9999
475176,d004,24-09-1994,01-01-9999
475177,d007,14-07-1996,01-01-9999
475178,d001,26-11-1992,17-10-1999
475179,d005,23-04-1995,01-01-9999
475180,d001,28-05-1996,01-01-9999
475181,d007,10-10-1997,01-01-9999
475182,d001,02-10-1987,01-01-9999
475183,d008,10-12-1999,01-01-9999
475184,d005,06-08-1994,31-03-2001
475184,d008,31-03-2001,01-01-9999
475185,d004,05-06-1994,04-11-1996
475186,d004,25-01-1993,01-01-9999
475187,d004,26-11-1997,01-01-9999
475188,d001,01-02-1994,01-01-9999
475189,d002,07-04-1987,01-01-9999
475190,d006,08-02-1988,01-01-9999
475191,d007,20-09-1991,23-01-1998
475192,d001,25-10-1993,01-01-9999
475193,d004,10-03-1986,01-01-9999
475194,d004,27-05-1985,20-02-1991
475194,d009,20-02-1991,01-01-9999
475195,d004,03-05-1988,26-11-1998
475196,d007,01-11-1985,01-01-9999
475197,d003,06-05-1993,01-01-9999
475198,d007,09-05-1988,01-01-9999
475199,d005,01-07-1993,01-01-9999
475200,d002,21-11-1990,01-01-9999
475201,d005,08-04-1985,14-04-1988
475202,d005,28-07-1990,01-01-9999
475203,d001,29-07-1998,06-06-1999
475203,d007,06-06-1999,01-01-9999
475204,d003,04-08-1985,20-01-1987
475205,d005,06-02-1988,01-01-9999
475206,d007,01-07-1994,01-01-9999
475207,d007,11-05-1991,01-01-9999
475208,d005,10-10-1998,01-01-9999
475209,d007,28-05-1999,01-01-9999
475210,d004,09-07-1996,01-01-9999
475211,d005,20-12-1987,01-01-9999
475212,d004,17-01-1995,19-03-1997
475212,d009,19-03-1997,01-01-9999
475213,d007,14-01-1996,06-06-1998
475214,d004,12-07-1995,01-01-9999
475215,d007,24-11-1997,01-01-9999
475216,d001,26-07-1986,01-01-9999
475217,d004,27-08-1989,15-04-2000
475218,d005,16-11-1986,01-01-9999
475219,d007,16-08-1997,01-01-9999
475220,d003,02-10-1999,01-01-9999
475221,d004,20-05-2001,01-01-9999
475221,d005,10-05-1995,20-05-2001
475222,d004,22-11-1993,01-01-9999
475223,d007,11-12-1995,01-01-9999
475224,d007,01-12-1996,01-01-9999
475225,d005,22-10-1998,06-04-1999
475226,d002,15-04-1999,01-01-9999
475227,d009,10-06-1990,01-01-9999
475228,d008,07-12-1993,01-01-9999
475229,d003,24-11-1988,01-01-9999
475230,d005,07-04-1994,01-01-9999
475231,d002,05-05-2002,01-01-9999
475231,d003,01-12-1999,05-05-2002
475232,d005,28-06-1988,01-01-9999
475233,d005,01-10-1985,01-01-9999
475234,d001,11-11-1988,08-07-1992
475235,d007,28-10-1986,01-01-9999
475236,d004,22-01-1990,01-01-9999
475237,d006,07-04-1993,01-01-9999
475238,d005,07-08-1997,01-01-9999
475239,d001,15-05-1992,01-01-9999
475239,d007,04-11-1991,15-05-1992
475240,d005,16-05-1991,01-01-9999
475241,d006,17-02-1986,01-01-9999
475242,d005,08-08-1995,01-01-9999
475243,d001,16-11-1999,07-05-2002
475244,d004,23-01-1988,01-01-9999
475245,d005,12-04-1998,01-01-9999
475246,d008,12-05-1991,01-01-9999
475247,d007,05-08-1987,24-04-1988
475248,d001,17-11-1997,01-01-9999
475248,d007,01-04-1997,17-11-1997
475249,d002,16-05-1993,01-01-9999
475250,d003,07-07-1993,01-01-9999
475251,d005,20-07-1997,01-01-9999
475252,d004,29-10-1987,01-01-9999
475253,d002,11-10-1997,13-09-2000
475254,d005,05-06-1990,01-01-9999
475255,d005,04-10-1997,01-01-9999
475256,d008,21-10-1999,01-01-9999
475257,d006,27-11-1992,01-01-9999
475258,d004,12-02-2000,01-01-9999
475258,d009,22-11-1987,12-02-2000
475259,d006,16-01-1988,01-01-9999
475260,d006,14-04-1997,01-01-9999
475261,d007,06-06-1986,01-01-9999
475262,d001,20-12-1991,03-03-1998
475263,d003,06-05-1996,01-01-9999
475264,d007,18-07-1989,01-01-9999
475265,d005,08-03-1986,01-01-9999
475266,d005,25-10-1985,06-07-2001
475266,d008,06-07-2001,01-01-9999
475267,d008,17-06-1998,01-01-9999
475268,d009,03-04-1992,01-01-9999
475269,d005,02-01-1986,01-01-9999
475270,d005,15-05-1996,01-01-9999
475271,d004,05-02-1999,25-04-2001
475272,d003,06-02-1996,01-01-9999
475273,d008,14-10-1994,01-01-9999
475274,d004,27-07-2000,01-01-9999
475274,d006,08-12-1993,27-07-2000
475275,d001,13-07-1990,01-01-9999
475276,d005,15-11-1997,24-11-2000
475277,d004,18-05-1988,01-01-9999
475278,d005,01-01-1995,09-04-2000
475279,d002,13-03-1997,01-01-9999
475280,d004,16-09-1989,01-01-9999
475281,d005,08-10-1993,01-01-9999
475282,d005,13-02-1991,19-04-1994
475283,d004,04-11-1985,01-01-9999
475284,d004,29-03-1985,01-01-9999
475285,d007,22-02-1991,29-11-1998
475285,d009,29-11-1998,01-01-9999
475286,d009,05-05-1994,23-06-1998
475287,d001,28-08-1990,01-01-9999
475288,d005,09-05-1997,01-01-9999
475289,d001,01-01-1997,01-01-9999
475290,d001,25-05-1992,01-01-9999
475291,d005,10-12-1986,13-07-1990
475292,d007,20-08-1985,01-01-9999
475293,d007,04-08-1990,01-01-9999
475294,d001,02-11-1999,18-12-2000
475294,d009,18-12-2000,01-01-9999
475295,d005,27-07-1994,01-01-9999
475296,d005,01-11-1997,01-01-9999
475297,d005,21-02-1996,23-05-2002
475298,d007,14-06-1994,08-05-1998
475299,d007,25-03-1989,01-01-9999
475300,d001,03-06-1988,01-01-9999
475301,d003,27-06-1995,01-01-9999
475302,d005,17-06-1991,01-01-9999
475303,d009,26-02-1985,01-01-9999
475304,d009,28-09-1988,01-01-9999
475305,d004,09-07-1998,10-05-2000
475305,d009,10-05-2000,01-01-9999
475306,d002,27-06-1986,07-04-2000
475307,d005,08-07-1992,01-01-9999
475308,d005,07-07-1987,01-01-9999
475309,d004,20-11-1993,01-01-9999
475310,d007,27-10-1986,01-01-9999
475311,d004,01-03-1996,01-01-9999
475312,d005,13-01-1992,01-01-9999
475313,d009,09-02-1993,01-01-9999
475314,d002,20-03-1989,27-03-1991
475314,d003,27-03-1991,14-08-1992
475315,d009,07-09-1999,29-09-2001
475316,d001,26-12-1989,01-01-9999
475317,d004,27-11-1988,01-01-9999
475318,d002,22-05-1991,01-01-9999
475319,d001,13-02-1995,01-01-9999
475320,d007,17-10-1993,25-07-1998
475321,d005,15-04-1992,01-01-9999
475322,d003,13-05-1998,01-01-9999
475323,d002,28-09-1993,01-01-9999
475324,d001,22-03-1999,27-03-1999
475324,d007,27-03-1999,22-05-1999
475325,d006,04-03-1998,01-01-9999
475326,d001,26-01-1999,01-01-9999
475327,d005,18-06-1997,01-01-9999
475328,d007,20-04-1997,01-01-9999
475329,d004,01-02-1986,29-12-1991
475330,d004,13-11-1997,12-11-2001
475331,d004,02-05-1993,01-01-9999
475332,d004,17-09-1988,01-01-9999
475333,d007,30-05-1990,29-01-1993
475333,d009,29-01-1993,01-01-9999
475334,d007,07-04-1985,01-01-9999
475335,d005,02-08-1995,09-02-1999
475336,d005,01-07-1997,01-01-9999
475337,d004,10-03-1994,01-01-9999
475338,d007,15-09-1986,01-01-9999
475339,d005,27-05-1990,01-01-9999
475340,d005,01-05-1991,01-01-9999
475341,d001,25-05-1991,01-01-9999
475342,d007,17-02-1988,04-03-1990
475343,d004,09-11-1999,01-01-9999
475343,d009,16-04-1988,09-11-1999
475344,d005,09-07-1988,14-02-2001
475345,d007,14-10-1999,01-01-9999
475346,d005,03-01-1997,01-01-9999
475347,d004,05-08-1997,01-01-9999
475348,d004,05-10-1997,01-01-9999
475349,d009,07-03-1995,01-01-9999
475350,d004,30-08-1987,01-01-9999
475351,d004,01-03-1995,01-01-9999
475352,d005,24-10-1999,21-01-2002
475353,d004,15-02-1988,22-03-2002
475353,d006,22-03-2002,01-01-9999
475354,d004,08-12-1994,01-01-9999
475355,d005,14-08-1986,01-01-9999
475356,d004,17-05-1991,01-01-9999
475357,d004,03-05-1995,01-01-9999
475358,d004,14-11-1985,01-01-9999
475359,d004,19-12-1988,01-01-9999
475360,d005,28-01-1995,01-01-9999
475361,d005,24-04-1986,16-09-1989
475362,d004,28-03-1999,01-01-9999
475362,d005,26-05-1994,28-03-1999
475363,d007,15-08-1997,01-01-9999
475364,d002,20-09-1985,15-07-1994
475365,d002,04-09-1989,01-01-9999
475366,d008,03-02-1990,01-01-9999
475367,d001,01-12-1997,01-01-9999
475368,d004,02-01-1997,01-01-9999
475369,d004,26-09-1989,01-01-9999
475370,d004,01-09-1997,01-01-9999
475371,d002,20-05-1998,01-01-9999
475371,d003,02-05-1998,20-05-1998
475372,d006,15-06-1994,22-06-2001
475373,d005,19-08-1995,01-01-9999
475374,d002,03-04-1995,01-01-9999
475375,d009,28-07-1988,01-01-9999
475376,d005,03-08-1994,01-01-9999
475377,d005,28-02-1994,01-01-9999
475378,d003,07-06-1995,01-01-9999
475379,d006,26-06-1990,11-10-2001
475380,d001,16-05-1987,17-08-1993
475380,d009,17-08-1993,01-01-9999
475381,d004,03-04-1997,01-01-9999
475382,d005,17-08-1989,12-11-1992
475383,d008,12-08-1998,01-01-9999
475384,d007,01-06-1988,01-01-9999
475385,d006,27-04-1996,01-01-9999
475386,d008,26-10-1992,06-04-1998
475387,d004,16-10-1994,01-01-9999
475388,d007,29-10-1994,01-01-9999
475389,d004,05-08-1988,10-08-1996
475389,d006,10-08-1996,01-01-9999
475390,d009,19-05-1997,01-01-9999
475391,d003,14-10-1987,01-01-9999
475392,d004,15-04-1993,20-12-1993
475393,d004,22-08-1994,01-01-9999
475394,d005,09-07-1986,01-01-9999
475395,d004,11-07-1999,01-01-9999
475396,d007,28-09-1986,06-11-1989
475397,d004,21-10-1996,01-01-9999
475398,d004,02-01-1995,01-01-9999
475399,d007,12-10-1988,01-01-9999
